state_1,state_2,output,stop_number,multiplicity,class,safety,reachable_under_published_rules
SPACE,SPACE,q,8,5,RESTART,0,1
SPACE,SPACE,ch,8,5,RESTART,0,1
SPACE,SPACE,sh,8,4,RESTART,0,1
SPACE,SPACE,k,8,1,RESTART,0,1
SPACE,SPACE,o,8,7,RESTART,0,1
SPACE,SPACE,d,8,9,RESTART,0,1
SPACE,SPACE,s,1,2,RESTART,0,1
SPACE,SPACE,s,8,1,RESTART,0,1
SPACE,SPACE,y,8,1,RESTART,0,1
SPACE,a,i,8,1,SECOND,0,1
SPACE,a,l,2,1,SECOND,0,1
SPACE,a,n,1,1,SECOND,0,1
SPACE,ch,cth,8,1,SECOND,0,1
SPACE,ch,ckh,8,1,SECOND,0,1
SPACE,ch,k,8,2,SECOND,0,1
SPACE,ch,o,2,1,SECOND,0,1
SPACE,ch,o,8,14,SECOND,0,1
SPACE,ch,t,8,1,SECOND,0,1
SPACE,ch,a,8,3,SECOND,0,1
SPACE,ch,e,8,6,SECOND,0,1
SPACE,ch,y,2,2,SECOND,0,1
SPACE,ch,y,8,1,SECOND,0,1
SPACE,ch,r,1,1,SECOND,0,1
SPACE,ckh,o,8,2,SECOND,0,1
SPACE,ckh,y,1,1,SECOND,0,1
SPACE,cph,e,8,1,SECOND,0,1
SPACE,cph,y,1,1,SECOND,0,1
SPACE,cth,o,8,2,SECOND,0,1
SPACE,cth,d,1,1,SECOND,0,1
SPACE,cth,e,8,1,SECOND,0,1
SPACE,cth,y,1,2,SECOND,0,1
SPACE,d,ch,8,3,SECOND,0,1
SPACE,d,sh,8,1,SECOND,0,1
SPACE,d,k,8,1,SECOND,0,1
SPACE,d,o,8,6,SECOND,0,1
SPACE,d,a,8,15,SECOND,0,1
SPACE,d,e,8,2,SECOND,0,1
SPACE,d,l,8,1,SECOND,0,1
SPACE,d,y,2,2,SECOND,0,1
SPACE,d,y,8,1,SECOND,0,1
SPACE,f,ch,8,1,SECOND,0,1
SPACE,f,o,8,1,SECOND,0,1
SPACE,k,ch,8,3,SECOND,0,1
SPACE,k,sh,8,1,SECOND,0,1
SPACE,k,o,8,1,SECOND,0,1
SPACE,k,e,8,2,SECOND,0,1
SPACE,k,y,8,1,SECOND,0,1
SPACE,l,sh,8,1,SECOND,0,1
SPACE,l,o,8,1,SECOND,0,1
SPACE,o,k,8,1,SECOND,0,1
SPACE,o,t,8,3,SECOND,0,1
SPACE,o,a,8,1,SECOND,0,1
SPACE,o,d,8,1,SECOND,0,1
SPACE,o,e,8,1,SECOND,0,1
SPACE,o,l,8,1,SECOND,0,1
SPACE,p,ch,8,1,SECOND,0,1
SPACE,p,o,8,1,SECOND,0,1
SPACE,q,k,8,1,SECOND,0,1
SPACE,q,o,8,10,SECOND,0,1
SPACE,s,o,2,1,SECOND,0,1
SPACE,s,a,8,2,SECOND,0,1
SPACE,sh,ckh,8,1,SECOND,0,1
SPACE,sh,o,2,3,SECOND,0,1
SPACE,sh,o,8,6,SECOND,0,1
SPACE,sh,t,8,1,SECOND,0,1
SPACE,sh,a,8,1,SECOND,0,1
SPACE,sh,e,8,5,SECOND,0,1
SPACE,sh,y,1,1,SECOND,0,1
SPACE,t,ch,8,2,SECOND,0,1
SPACE,t,sh,8,1,SECOND,0,1
SPACE,t,e,8,1,SECOND,0,1
SPACE,t,y,1,1,SECOND,0,1
SPACE,y,ch,8,1,SECOND,0,1
SPACE,y,p,8,1,SECOND,0,1
SPACE,y,k,8,2,SECOND,0,1
SPACE,y,o,8,1,SECOND,0,1
SPACE,y,t,8,2,SECOND,0,1
SPACE,y,d,8,1,SECOND,0,1
a,SPACE,ch,8,1,BOUNDARY,1,1
a,i,i,5,1,INTERNAL,0,1
a,i,i,7,2,INTERNAL,0,1
a,i,i,8,3,INTERNAL,0,1
a,i,r,1,1,INTERNAL,0,1
a,i,n,3,1,INTERNAL,0,1
a,i,n,5,1,INTERNAL,0,1
a,l,o,7,1,INTERNAL,0,0
a,l,d,7,1,INTERNAL,0,0
a,l,s,7,1,INTERNAL,0,0
a,r,o,7,1,INTERNAL,0,0
cfh,SPACE,ch,8,1,BOUNDARY,1,0
ch,SPACE,ch,8,1,BOUNDARY,1,1
ch,a,i,7,1,INTERNAL,0,1
ch,a,i,8,1,INTERNAL,0,1
ch,a,l,3,1,INTERNAL,0,1
ch,a,r,3,1,INTERNAL,0,1
ch,a,n,1,1,INTERNAL,0,1
ch,ckh,y,1,1,INTERNAL,0,1
ch,cth,y,1,1,INTERNAL,0,1
ch,e,o,5,1,INTERNAL,0,1
ch,e,o,7,1,INTERNAL,0,1
ch,e,o,8,1,INTERNAL,0,1
ch,e,t,7,1,INTERNAL,0,1
ch,e,a,7,1,INTERNAL,0,1
ch,e,e,6,1,INTERNAL,0,1
ch,e,e,7,1,INTERNAL,0,1
ch,e,e,8,1,INTERNAL,0,1
ch,e,y,1,4,INTERNAL,0,1
ch,k,o,7,1,INTERNAL,0,1
ch,k,a,7,1,INTERNAL,0,1
ch,k,e,7,1,INTERNAL,0,1
ch,o,ch,5,1,INTERNAL,0,1
ch,o,k,4,1,INTERNAL,0,1
ch,o,k,7,1,INTERNAL,0,1
ch,o,t,4,1,INTERNAL,0,1
ch,o,t,7,1,INTERNAL,0,1
ch,o,a,7,1,INTERNAL,0,1
ch,o,d,4,1,INTERNAL,0,1
ch,o,d,7,1,INTERNAL,0,1
ch,o,d,8,1,INTERNAL,0,1
ch,o,s,7,1,INTERNAL,0,1
ch,o,i,8,1,INTERNAL,0,1
ch,o,l,2,1,INTERNAL,0,1
ch,o,l,3,2,INTERNAL,0,1
ch,o,l,7,1,INTERNAL,0,1
ch,o,l,8,1,INTERNAL,0,1
ch,o,r,1,1,INTERNAL,0,1
ch,o,r,3,2,INTERNAL,0,1
ch,o,r,7,1,INTERNAL,0,1
ch,o,r,8,1,INTERNAL,0,1
ch,t,o,7,1,INTERNAL,0,1
ch,t,y,1,1,INTERNAL,0,1
ch,y,k,7,1,INTERNAL,0,1
ckh,SPACE,ch,8,1,BOUNDARY,1,0
ckh,o,l,3,1,INTERNAL,0,1
ckh,o,r,3,1,INTERNAL,0,1
cph,SPACE,ch,8,1,BOUNDARY,1,0
cph,e,y,1,1,INTERNAL,0,1
cth,SPACE,ch,8,1,BOUNDARY,1,0
cth,e,y,1,1,INTERNAL,0,1
cth,o,l,3,1,INTERNAL,0,1
cth,o,l,7,1,INTERNAL,0,1
cth,o,r,3,1,INTERNAL,0,1
d,SPACE,sh,8,1,BOUNDARY,0,1
d,SPACE,d,8,2,BOUNDARY,0,1
d,a,i,5,1,INTERNAL,0,1
d,a,i,7,2,INTERNAL,0,1
d,a,i,8,2,INTERNAL,0,1
d,a,l,3,1,INTERNAL,0,1
d,a,n,1,1,INTERNAL,0,1
d,ch,o,7,1,INTERNAL,0,1
d,ch,e,7,1,INTERNAL,0,1
d,ch,y,2,1,INTERNAL,0,1
d,e,o,7,1,INTERNAL,0,1
d,e,e,6,1,INTERNAL,0,1
d,e,e,7,1,INTERNAL,0,1
d,k,o,7,1,INTERNAL,0,1
d,l,s,7,1,INTERNAL,0,1
d,o,d,7,1,INTERNAL,0,1
d,o,l,3,1,INTERNAL,0,1
d,o,l,7,1,INTERNAL,0,1
d,o,r,1,1,INTERNAL,0,1
d,o,r,3,1,INTERNAL,0,1
d,sh,o,7,1,INTERNAL,0,1
d,y,k,7,1,INTERNAL,0,1
e,SPACE,ch,8,1,BOUNDARY,0,1
e,a,i,8,1,INTERNAL,0,1
e,a,r,3,1,INTERNAL,0,1
e,ch,y,2,1,INTERNAL,0,1
e,e,o,7,1,INTERNAL,0,1
e,e,a,7,1,INTERNAL,0,1
e,e,e,6,1,INTERNAL,0,1
e,e,e,7,1,INTERNAL,0,1
e,e,s,1,1,INTERNAL,0,1
e,e,s,7,1,INTERNAL,0,1
e,e,y,1,3,INTERNAL,0,1
e,k,y,2,1,INTERNAL,0,1
e,o,d,4,1,INTERNAL,0,1
e,o,d,7,1,INTERNAL,0,1
e,o,s,7,1,INTERNAL,0,1
e,o,l,3,1,INTERNAL,0,1
e,o,l,7,1,INTERNAL,0,1
e,o,r,3,1,INTERNAL,0,1
e,s,e,1,1,INTERNAL,0,1
e,t,y,1,1,INTERNAL,0,1
f,SPACE,ch,8,1,BOUNDARY,1,0
f,ch,o,7,1,INTERNAL,0,1
f,o,d,7,1,INTERNAL,0,1
g,SPACE,ch,8,1,BOUNDARY,1,0
i,SPACE,ch,8,1,BOUNDARY,1,1
i,i,s,7,1,INTERNAL,0,1
i,i,i,8,1,INTERNAL,0,1
i,i,l,3,1,INTERNAL,0,1
i,i,r,1,1,INTERNAL,0,1
i,i,n,2,2,INTERNAL,0,1
i,i,n,3,5,INTERNAL,0,1
i,i,n,5,2,INTERNAL,0,1
i,i,n,7,1,INTERNAL,0,1
i,i,n,8,1,INTERNAL,0,1
i,l,d,7,1,INTERNAL,0,0
i,n,y,1,1,INTERNAL,0,1
i,s,o,7,1,INTERNAL,0,1
i,sh,e,7,1,INTERNAL,0,1
k,SPACE,ch,8,1,BOUNDARY,1,1
k,a,i,8,1,INTERNAL,0,1
k,a,r,3,1,INTERNAL,0,1
k,ch,o,5,1,INTERNAL,0,1
k,ch,o,7,1,INTERNAL,0,1
k,ch,e,7,1,INTERNAL,0,1
k,ch,y,2,1,INTERNAL,0,1
k,ch,y,3,1,INTERNAL,0,1
k,e,ch,5,1,INTERNAL,0,1
k,e,o,5,1,INTERNAL,0,1
k,e,o,7,1,INTERNAL,0,1
k,e,e,6,1,INTERNAL,0,1
k,e,e,7,1,INTERNAL,0,1
k,e,y,1,1,INTERNAL,0,1
k,o,o,7,1,INTERNAL,0,1
k,o,d,7,1,INTERNAL,0,1
k,o,i,8,1,INTERNAL,0,1
k,o,l,3,1,INTERNAL,0,1
k,o,l,7,1,INTERNAL,0,1
k,o,l,8,1,INTERNAL,0,1
k,sh,o,7,1,INTERNAL,0,1
k,sh,y,1,1,INTERNAL,0,1
k,y,d,7,1,INTERNAL,0,1
l,SPACE,q,8,1,BOUNDARY,0,1
l,SPACE,ch,8,4,BOUNDARY,0,1
l,SPACE,cph,8,1,BOUNDARY,0,1
l,SPACE,cth,8,1,BOUNDARY,0,1
l,SPACE,sh,8,2,BOUNDARY,0,1
l,SPACE,f,8,1,BOUNDARY,0,1
l,SPACE,k,8,1,BOUNDARY,0,1
l,SPACE,o,8,1,BOUNDARY,0,1
l,SPACE,d,8,5,BOUNDARY,0,1
l,SPACE,s,8,1,BOUNDARY,0,1
l,SPACE,y,8,1,BOUNDARY,0,1
l,a,i,8,1,INTERNAL,0,1
l,d,y,2,1,INTERNAL,0,1
l,o,ch,5,1,INTERNAL,0,1
l,o,d,7,1,INTERNAL,0,1
l,o,e,7,1,INTERNAL,0,1
l,o,r,3,1,INTERNAL,0,1
l,s,a,7,1,INTERNAL,0,1
l,s,y,1,1,INTERNAL,0,1
l,sh,o,7,1,INTERNAL,0,1
l,sh,e,7,1,INTERNAL,0,1
l,sh,y,1,1,INTERNAL,0,1
l,y,sh,7,1,INTERNAL,0,0
m,SPACE,ch,8,1,BOUNDARY,1,0
n,SPACE,q,8,1,BOUNDARY,0,1
n,SPACE,ch,8,3,BOUNDARY,0,1
n,SPACE,cth,8,1,BOUNDARY,0,1
n,SPACE,sh,8,3,BOUNDARY,0,1
n,SPACE,ckh,8,1,BOUNDARY,0,1
n,SPACE,o,8,2,BOUNDARY,0,1
n,SPACE,t,8,1,BOUNDARY,0,1
n,SPACE,d,1,1,BOUNDARY,0,1
n,SPACE,d,8,1,BOUNDARY,0,1
n,SPACE,s,8,1,BOUNDARY,0,1
n,SPACE,y,8,1,BOUNDARY,0,1
o,SPACE,ch,8,3,BOUNDARY,0,1
o,SPACE,p,8,1,BOUNDARY,0,1
o,SPACE,sh,8,1,BOUNDARY,0,1
o,SPACE,k,8,3,BOUNDARY,0,1
o,SPACE,t,8,1,BOUNDARY,0,1
o,SPACE,d,8,1,BOUNDARY,0,1
o,SPACE,l,1,1,BOUNDARY,0,1
o,SPACE,l,8,1,BOUNDARY,0,1
o,SPACE,y,8,1,BOUNDARY,0,1
o,SPACE,r,1,2,BOUNDARY,0,1
o,a,i,8,1,INTERNAL,0,1
o,ch,o,7,1,INTERNAL,0,1
o,ch,e,7,1,INTERNAL,0,1
o,ch,y,2,1,INTERNAL,0,1
o,ch,y,3,1,INTERNAL,0,1
o,d,o,7,1,INTERNAL,0,1
o,d,a,5,1,INTERNAL,0,1
o,d,a,6,1,INTERNAL,0,1
o,d,a,7,1,INTERNAL,0,1
o,d,a,8,1,INTERNAL,0,1
o,d,y,2,2,INTERNAL,0,1
o,d,y,3,1,INTERNAL,0,1
o,e,e,7,1,INTERNAL,0,1
